id,category,question,expected_answer,generated_answer,term_recall,matched_terms,unsupported_facts,accuracy,completeness,hallucination_free,source_reference
cost_11,cost,"Информатика и вычислительная техника, сколько стоит год, я не нашел строку",один год по программе Информатика и вычислительная техника в Москве стоит 540 тыс руб,"Стоимость года обучения по направлению ""Информатика и вычислительная техника"" не указана в данном фрагменте документа. Источник: ...",0.5,['информатика и вычислительная техника'],[],0,0.5,1,1
cost_12,cost,"Программная инженерия, цена за год в Москве, только по делу",один год по программе Программная инженерия в Москве стоит 800 тыс руб,"Информация о стоимости обучения по программе ""Программная инженерия"" в Москве за 2026 год отсутствует в данном контексте. Источник: https://www.hse.ru/news/admission/1120677182.html",0.5,['программная инженерия'],[],0,0.5,1,1
cost_13,cost,"Дизайн и разработка инфопродуктов, сколько в год, Москва ВШЭ",один год по программе Дизайн и разработка информационных продуктов в Москве стоит 780 тыс руб,"780

Источник: data/raw/pdfs/6.18-01_180225-3 Приложение 1_Москва.pdf",0.5,['780'],[],0,0.5,1,1
cost_14,cost,"Разработка игр и цифровых продуктов, сколько платить за год обучения",один год по программе Разработка игр и цифровых продуктов в Москве стоит 850 тыс руб,"За год обучения в направлении ""Разработка игр и цифровых продуктов"" платные места стоят 850 рублей.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['разработка игр и цифровых продуктов', '850']",[],1,1.0,1,1
cost_15,cost,"Информационная безопасность, год обучения сколько стоит в Москве",один год по программе Информационная безопасность в Москве стоит 590 тыс руб,"Стоимость обучения по специальности ""Информационная безопасность"" в 2025 году составляет 560 тыс. руб.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.5,['информационная безопасность'],[],0,0.5,1,1
cost_16,cost,"Инфокоммуникации и системы связи, какой ценник за год в Москве",один год по программе Инфокоммуникационные технологии и системы связи в Москве стоит 500 тыс руб,Ценник за год обучения в Москве для направления подготовки 11.03.02 Инфокоммуникационные технологии и системы связи не указан в данном фрагменте. Источник: ... Приложение 1.pdf,0.5,['инфокоммуникационные технологии и системы связи'],[],0,0.5,1,1
cost_17,cost,"Психология в ВШЭ Москва, сколько стоит год, просто сумма",один год по программе Психология в Москве стоит 670 тыс руб,"Стоимость обучения по специальности ""Психологическое консультирование"" в НИУ ВШЭ (Москва) не указана в данном контексте. Источник: ...",0.0,[],[],0,0.0,1,1
cost_18,cost,"Экономика, стоимость за год в Москве, если можно без лишнего",один год по программе Экономика в Москве стоит 770 тыс руб,"Стоимость обучения за один год для экономических специальностей в Москве НИУ ВШЭ в 2025 году составляет 65 000 рублей.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.0,[],['65 000'],0,0.0,0,1
cost_19,cost,"Экономика и анализ данных, сколько денег за один год обучения",один год по программе Экономика и анализ данных в Москве стоит 790 тыс руб,"За один год обучения в направлении ""Экономика и анализ данных""付诸行动。
根据提供的信息，经济与数据分析专业的学费为790元/年。",1.0,"['экономика и анализ данных', '790']",[],1,1.0,1,0
cost_20,cost,"Экономика и статистика, сколько стоит год, я перепроверяю",один год по программе Экономика и статистика в Москве стоит 660 тыс руб,"Год обучения по направлению ""Экономика и статистика"" стоит 660 рублей.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['экономика и статистика', '660']",[],1,1.0,1,1
cost_21,cost,"Мировая экономика, цена за год обучения, Москва",один год по программе Мировая экономика в Москве стоит 780 тыс руб,"Цена за год обучения по специальности ""Мировая экономика"" в 2025 году составляет 65 000 рублей.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.5,['мировая экономика'],['65 000'],0,0.5,0,1
cost_22,cost,"Экономический анализ онлайн, сколько это стоит за год",один год по программе Экономический анализ онлайн в Москве стоит 510 тыс руб,"Стоимость обучения по направлению ""Экономический анализ (онлайн)"" за год составляет 510 рублей.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['экономический анализ онлайн', '510']",[],1,1.0,1,1
cost_23,cost,"Маркетинг и рыночная аналитика, цена за год обучения в Москве",один год по программе Маркетинг и рыночная аналитика в Москве стоит 850 тыс руб,Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf,0.0,[],[],0,0.0,1,1
cost_24,cost,"Управление бизнесом, сколько стоит год, Москва ВШЭ",один год по программе Управление бизнесом в Москве стоит 850 тыс руб,"Стоимость обучения за год для специальности ""Юриспруденция: правовое регулирование бизнеса"" составляет 40 000 рублей.

Источник: Приложение 1.pdf",0.0,[],['40 000'],0,0.0,0,1
cost_25,cost,"Госуправление, то есть ГМУ, сколько за год обучения в Москве",один год по программе Государственное и муниципальное управление в Москве стоит 550 тыс руб,"Стоимость обучения за один год в Москве для бакалавриата и специалитета в НИУ ВШЭ в 2025 году составляет 560 тысяч рублей для специальности ""Компьютерная безопасность"" и 730 тысяч рублей для специальности ""Актерское искусство"".

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.0,[],[],0,0.0,1,1
dates_01,dates,"По Компьютерной безопасности, когда можно подавать документы в 2026, отдельно бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Для направления подготовки 11.03.01 Компьютерная безопасность можно подавать документы на бюджетные места с 20 июня по 25 июля 2026 года, а на платные места с 20 июня по 12 августа 2026 года.

Источник: ... Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",['11 03 01'],0,1.0,0,1
dates_02,dates,"Математика, подскажи дедлайны приема документов в 2026, бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Бюджетные места: с 20 июня по 14 июля 2026 года  
Платные места: с 20 июня по 12 августа 2026 года

Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_03,dates,"Для ПМИ в 2026 какие даты приема документов, я хочу успеть на бюджет, но хочу знать и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Для ПМИ в 2026 году:
- Бюджетные места: с 20 июня по 14 июля.
- Платные места: с 20 июня по 12 августа.

Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_04,dates,"Компьютерные науки и анализ данных онлайн, когда принимают документы в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Бюджетные места принимаются с 20 июня по 14 июля 2026 года для направления компьютерные науки и анализ данных.

Платные места принимаются с 20 июня по 12 августа 2026 года для направления компьютерные науки и анализ данных.

Источник: ... Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_05,dates,"Прикладная математика, какие сроки подачи документов в 2026, чтобы не пролететь","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Для направления подготовки 01.03.04 Прикладная математика бюджетные места доступны с 20 июня по 25 июля 2026 года.

Платные места доступны с 20 июня по 12 августа 2026 года.

Источник: Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_06,dates,"Физика, даты приема документов в 2026, можно коротко бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Бюджетные места по физике принимаются с 20 июня по 25 июля 2026 года. Платные места принимаются с 20 июня по 12 августа 2026 года, а завершение приема документов на платные места — 17 августа 2026 года.

Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_07,dates,"Химия новых материалов, когда подаются документы в 2026, я путаю даты","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Даты подачи документов для направления ""Химия новых материалов"" в 2026 году:
- Платные места: с 20 июня по 12 августа 2026 года
- Бюджетные места: с 20 июня по 25 июля 2026 года

Источник: Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_08,dates,"Биотехнология клеточная и молекулярная, до какого числа можно подать в 2026 на бюджет и на платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","До 12 августа 2026 года можно подать документы на платное обучение по направлению подготовки 06.03.01 Биология, включая биотехнологию клеточную и молекулярную. Бюджетные места уже не принимаются после 25 июля 2026 года для этого направления.

Источник: ... Приложение 1.pdf",0.8571428571428571,"['25 июля', '12 августа', '20', '25', '2026', '12']",[],1,0.8571428571428571,1,1
dates_09,dates,"Когнитивная нейробиология, какие сроки приема документов в 2026, хочу понять крайний день","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026",Крайний день для подачи документов на когнитивную нейробиологию в 2026 году — 8 августа. Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики».,0.2857142857142857,"['20', '2026']",[],0,0.2857142857142857,1,1
dates_10,dates,"Городское планирование, сроки подачи в 2026, бюджет отдельно и платное отдельно","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Бюджетные места для направления подготовки 07.03.04 «Градостроительство» (специализация «Девелопмент и городское планирование») подаются с 20 июня по 14 июля 2026 года. Платные места подаются с 20 июня по 12 августа 2026 года.

Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и город",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_11,dates,"ИВТ, когда открывается прием документов и когда закрывается в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Бюджетные места для ИВТ открываются с 20 июня по 14 июля 2026 года, а платные места — с 20 июня по 12 августа 2026 года.

Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_12,dates,"Программная инженерия, какие даты приема документов в 2026, чтобы я нормально спланировал","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Даты подачи документов на программу ""Программная инженерия"" в 2026 году:
- С 20 июня по 12 августа для платных мест.
- С 20 июня по 14 июля для бюджетных мест.

Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_13,dates,"Дизайн и разработка инфопродуктов, подскажи сроки подачи документов в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Сроки подачи документов на платные места в 2026 году для направления ""Дизайн и разработка инфопродуктов"" с 20 июня по 03 августа 2026 года. Бюджетные места принимаются с 20 июня по 25 июля 2026 года.

Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '25 июля', '20', '25', '2026']",[],1,0.7142857142857143,1,1
dates_14,dates,"Разработка игр, какие сроки приема документов в 2026, хочу знать последний день","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Последний день приема документов для направления ""Разработка игр и цифровых продуктов"" в 2026 году — 12 августа.

Источник: Приложение 1.pdf",0.5714285714285714,"['12 августа', '20', '2026', '12']",[],0,0.5714285714285714,1,1
dates_15,dates,"Информационная безопасность, сроки подачи документов в 2026, бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Сроки подачи документов на направление подготовки 11.03.02 Инфокоммуникационные технологии и системы связи и 10.03.01 Информационная безопасность в 2026 году:

- Бюджетные места: с 20 июня по 25 июля
- Платные места: с 20 июня по 12 августа

Источник: ... Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_16,dates,"Инфокоммуникации и связь, когда можно подать документы в 2026, и когда уже поздно","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Для направления подготовки 11.03.02 Инфокоммуникационные технологии и системы связи:
- Бюджетные места: с 20 июня по 25 июля 2026 года
- Платные места: с 20 июня по 12 августа 2026 года

Поздний срок подачи документов: 17 августа 2026 года.

Источник: Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_17,dates,"Психология, сроки приема документов в 2026, я боюсь пропустить бюджет","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Сроки приема документов на бюджетные места для направления подготовки 37.03.01 Психология в 2026 году:
- с 20 июня по 14 июля

Источник: ... Приложение 1.pdf",0.42857142857142855,"['20 июня', '20', '2026']",[],0,0.42857142857142855,1,1
dates_18,dates,"Экономика, когда принимают документы в 2026, отдельно бюджет и отдельно платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Бюджетные места принимаются с 20 июня по 14 июля 2026 года, а платные места — с 20 июня по 12 августа 2026 года.

Источник: Приложение 1.pdf",0.7142857142857143,"['20 июня', '12 августа', '20', '2026', '12']",[],1,0.7142857142857143,1,1
dates_19,dates,"Экономика и анализ данных, сроки подачи в 2026, скажи как в документе","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Экономика и анализ данных:
с 20 июня по 03 августа 2026 года

Источник: ... Приложение 1.pdf",0.42857142857142855,"['20 июня', '20', '2026']",[],0,0.42857142857142855,1,1
dates_20,dates,"Экономика и статистика, подскажи даты приема документов в 2026, я хочу записать себе","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Бюджетные места для направления ""Экономика и статистика"" принимаются с 20 июня по 25 июля 2026 года включительно.

Источник: Информирование о приеме – 2026 – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики».",0.7142857142857143,"['20 июня', '25 июля', '20', '25', '2026']",[],1,0.7142857142857143,1,1
dates_21,dates,"Мировая экономика, какие сроки подачи документов в 2026, бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Сроки подачи документов для направления ""Мировая экономика"" в 2026 году:
- Бюджетные места: с 20 июня по 25 июля
- Платные места: с 20 июня по 12 августа

Источник: Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_22,dates,"Экономический анализ онлайн, даты приема документов в 2026, просто период","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Период приема документов на экономический анализ онлайн в 2026 году завершается 3 августа 2026 года.

Источник: Приложение 1.pdf",0.2857142857142857,"['20', '2026']",[],0,0.2857142857142857,1,1
dates_23,dates,"Маркетинг и аналитика, когда подаются документы в 2026, бюджет и платка","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Документы на Маркетинг и аналитику для бюджетных мест подаются с 20 июня по 25 июля 2026 года. Для платных мест — с 20 июня по 12 августа 2026 года.

Источник: Приложение 1.pdf",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,1
dates_24,dates,"Управление бизнесом, сроки приема документов в 2026, чтобы я не тупил потом","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Сроки приема документов на платные места для программы ""Управление бизнесом"" в 2026 году завершаются 12 августа.

Источник: Приложение 1.pdf",0.5714285714285714,"['12 августа', '20', '2026', '12']",[],0,0.5714285714285714,1,1
dates_25,dates,"ГМУ, то есть гос и муниципальное управление, когда можно подать документы в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Для направления подготовки 09.03.01 Информатика и вычислительная техника:
- Бюджетные места: с 20 июня по 25 июля 2026 года
- Платные места: с 20 июня по 12 августа 2026 года

Для направления подготовки 38.03.04 Государственное и муниципальное управление:
- Бюджетные места: с 20 июня по",1.0,"['20 июня', '25 июля', '12 августа', '20', '25', '2026', '12']",[],1,1.0,1,0
contacts_01,contacts,Какой телефон у приемной комиссии ВШЭ в Москве?,Телефоны приемной комиссии: (495) 771-32-42 и (495) 916-88-44.,"Телефоны приемной комиссии ВШЭ в Москве:
- (495) 771-32-42
- (495) 916-88-44

Источник: Контакты — Национальный исследовательский университет «Высшая школа экономики»",1.0,"['771 32 42', '916 88 44', '495 771 32 42', '495 916 88 44']",[],1,1.0,1,1
contacts_02,contacts,Какой телефон у справочной НИУ ВШЭ?,Телефон справочной НИУ ВШЭ: +7 (495) 771-32-32.,"Тел.: +7 (495) 771-32-32

Источник: Контакты — НИУ ВШЭ, https://www.hse.ru/contacts.html",0.6666666666666666,"['771 32 32', '7 495 771 32 32']",[],1,0.6666666666666666,1,1
contacts_03,contacts,Какая электронная почта приемной комиссии ВШЭ в Москве?,Электронная почта приемной комиссии НИУ ВШЭ в Москве: abitur@hse.ru.,"Электронная почта приемной комиссии НИУ ВШЭ в Москве - abitur@hse.ru.

Источник: Правила_приема_бак_2026_принятые_изменения_v12.pdf",0.6666666666666666,"['abitur', 'hse']",[],1,0.6666666666666666,1,1
dormitory_01,dormitory,Кому из первокурсников ВШЭ в 2025 году обещали места в общежитиях?,"Места в общежитиях получат студенты-первокурсники, поступившие на бесплатные места в бакалавриате и специалитете Вышки в 2025 году.","Всем студентам-первокурсникам, поступившим на бюджетные места и места за счет НИУ ВШЭ, в 2025 году обещали места в общежитиях.

Источник: Часто задаваемые вопросы — 2025 – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики»",0.5,"['общежитиях', '2025']",[],0,0.5,1,1
dormitory_02,dormitory,Где первокурсник получает направление на заселение в общежитие?,Направления на заселение выдаются автоматически через Личный кабинет абитуриента.,"Первокурсник получает направление на заселение в общежитие в Личном кабинете студента, если при подаче документов указал на необходимость предоставления общежития. Источник: Порядок заселения в общежитие НИУ ВШЭ студентов 1 курса бакалавриата/специалитета набора 2025 года.",0.0,[],[],0,0.0,1,1
dormitory_03,dormitory,На какую почту отправлять заявку на место в общежитии?,Заявки на место в общежитии необходимо отправлять на почту dormcom@hse.ru.,"Заявку на место в общежитии нужно отправлять на почту dormcom@hse.ru.

Источник: Подача заявки на получение места в общежитии (кроме поступивших на бесплатные места) – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики».",1.0,"['dormcom', 'hse']",[],1,1.0,1,1
documents_01,documents,Какими способами можно подать документы в приемную кампанию 2026 года?,"Очно и почтой документы подать можно, а дистанционно заявление можно подать через суперсервис ""Поступление в вуз онлайн"" на Госуслугах.","Документы можно подать следующими способами:
1. Очки в Приемную комиссию.
2. Через операторов почтовой связи.
3. Дистанционно через суперсервис «Поступление в вуз онлайн» портала «Госуслуги».

Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",0.6666666666666666,"['почтовой связи', 'госуслуги']",[],1,0.6666666666666666,1,1
documents_02,documents,Какой уровень образования нужен для поступления на бакалавриат или специалитет?,"Нужно иметь среднее общее образование, среднее профессиональное образование с квалификацией или высшее образование с квалификацией.","Для поступления на бакалавриат или специалитет необходимо иметь образование соответствующего уровня, подтвержденное документом о среднем общем образовании или документом о среднем профессиональном образовании и о квалификации, или документом о высшем образовании и о квалификации. Источник: Правила_приема_бак_2026_принятые_изменения_v12.pdf",1.0,"['среднем общем', 'среднем профессиональном', 'высшем образовании']",[],1,1.0,1,1
documents_03,documents,Где на сайте ВШЭ размещены документы и правила приема?,"Документы размещены в разделе документов и правил приема, включая правила приема и документы приемной комиссии.",Документы и правила приема размещены по адресу: https://admissions.hse.ru/undergraduate-apply/schedule. Источник: https://admissions.hse.ru/undergraduate-apply/schedule,0.5,['правила приема'],[],0,0.5,1,1
programs_01,programs,Какие вступительные предметы указаны для Девелопмента и городского планирования?,"Указаны математика, русский язык и один предмет на выбор: физика, история, информатика или география.","Вступительные предметы для Девелопмента и городского планирования: Математика (минимальный балл – 60), русский язык (минимальный балл – 65), физика/история/информатика/география (минимальный балл – 65).

Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национа",1.0,"['математика', 'русский язык', 'физика', 'история', 'информатика', 'география']",[],1,1.0,1,1
programs_02,programs,Сколько лет длится очное обучение по Девелопменту и городскому планированию?,Срок получения образования при очной форме обучения составляет 5 лет.,"Очное обучение по программе «Девелопмент и городское планирование» длится 5 лет.

Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики».",0.6666666666666666,"['5 лет', '5']",[],1,0.6666666666666666,1,1
programs_03,programs,Какие специализации планируются на 3 курсе Девелопмента и городского планирования?,На 3 курсе планируются траектории: Девелопмент и Городское планирование.,"На 3 курсе специализации по направлению «Девелопмент и городское планирование» планируются траектории:
- Девелопмент;
- Городское планирование.

Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики».",1.0,"['девелопмент', 'городское планирование', '3']",[],1,1.0,1,1
conditions_01,conditions,Сколько баллов можно получить за индивидуальные достижения?,За индивидуальные достижения можно получить до 10 баллов.,За индивидуальные достижения можно получить до 10 баллов (при поступлении на целевую квоту до 15 баллов). Источник: Опубликованы правила приема на 2026 год – Национальный исследовательский университет «Высшая школа экономики».,1.0,"['индивидуальные достижения', 'до 10 баллов', '10']",[],1,1.0,1,1
conditions_02,conditions,Можно ли подать документы с баллом ЕГЭ ниже 50?,"Нет, подать документы можно только если балл по предмету ЕГЭ 50 и выше.","Нет, документы нельзя подать с баллом ЕГЭ ниже 50. Однако за индивидуальные достижения можно получить до 10 баллов, что может повлиять на проходной балл.

Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",0.3333333333333333,['50'],[],0,0.3333333333333333,1,1
conditions_03,conditions,Могут ли победители и призеры олимпиад поступить без вступительных испытаний?,"Да, победители и призеры Всероссийской олимпиады школьников и некоторых олимпиад из перечня могут поступить без вступительных испытаний.","Да, победители и призеры Всероссийской олимпиады школьников и некоторых олимпиад, входящих в Перечень олимпиад школьников, могут поступить на программу без вступительных испытаний.

Источник: https://www.hse.ru/ba/up/faq",1.0,"['победители', 'призеры', 'без вступительных испытаний']",[],1,1.0,1,1
